KP_Tipe	KP_RAD	DESC_RAD	INLIER_RAD	DIST(mm)
harris6D	0.020	0.020	0.080	0.131
harris6D	0.020	0.020	0.100	0.131
harris6D	0.020	0.040	0.020	19.218
harris6D	0.020	0.040	0.040	19.218
harris6D	0.020	0.040	0.060	19.218
harris6D	0.020	0.040	0.080	19.218
harris6D	0.020	0.040	0.100	19.218
harris6D	0.020	0.060	0.020	0.131
harris6D	0.020	0.060	0.040	0.373
harris6D	0.020	0.060	0.060	0.373
harris6D	0.020	0.060	0.080	0.373
harris6D	0.020	0.060	0.100	0.131
harris6D	0.020	0.080	0.020	9.332
harris6D	0.020	0.080	0.040	9.332
harris6D	0.020	0.080	0.060	9.332
harris6D	0.020	0.080	0.080	9.332
harris6D	0.020	0.080	0.100	9.332
harris6D	0.020	0.100	0.020	0.122
harris6D	0.020	0.100	0.040	0.122
harris6D	0.020	0.100	0.060	0.122
harris6D	0.020	0.100	0.080	0.122
harris6D	0.020	0.100	0.100	0.122
harris6D	0.040	0.020	0.020	0.131
harris6D	0.040	0.020	0.040	0.131
harris6D	0.040	0.020	0.060	0.131
harris6D	0.040	0.020	0.080	0.131
harris6D	0.040	0.020	0.100	0.131
harris6D	0.040	0.040	0.020	19.218
harris6D	0.040	0.040	0.040	19.218
harris6D	0.040	0.040	0.060	19.218
harris6D	0.040	0.040	0.080	19.218
harris6D	0.040	0.040	0.100	19.218
harris6D	0.040	0.060	0.020	0.131
harris6D	0.040	0.060	0.040	0.373
harris6D	0.040	0.060	0.060	0.373
harris6D	0.040	0.060	0.080	0.373
harris6D	0.040	0.060	0.100	0.131
harris6D	0.040	0.080	0.020	9.332
harris6D	0.040	0.080	0.040	9.332
harris6D	0.040	0.080	0.060	9.332
harris6D	0.040	0.080	0.080	9.332
harris6D	0.040	0.080	0.100	9.332
harris6D	0.040	0.100	0.020	0.122
harris6D	0.040	0.100	0.040	0.122
harris6D	0.040	0.100	0.060	0.122
harris6D	0.040	0.100	0.080	0.122
harris6D	0.040	0.100	0.100	0.122
harris6D	0.060	0.020	0.020	0.131
harris6D	0.060	0.020	0.040	0.131
harris6D	0.060	0.020	0.060	0.131
harris6D	0.060	0.020	0.080	0.131
harris6D	0.060	0.020	0.100	0.131
harris6D	0.060	0.040	0.020	19.218
harris6D	0.060	0.040	0.040	19.218
harris6D	0.060	0.040	0.060	19.218
harris6D	0.060	0.040	0.080	19.218
harris6D	0.060	0.040	0.100	19.218
harris6D	0.060	0.060	0.020	0.131
harris6D	0.060	0.060	0.040	0.373
harris6D	0.060	0.060	0.060	0.373
harris6D	0.060	0.060	0.080	0.373
harris6D	0.060	0.060	0.100	0.131
harris6D	0.060	0.080	0.020	9.332
harris6D	0.060	0.080	0.040	9.332
harris6D	0.060	0.080	0.060	9.332
harris6D	0.060	0.080	0.080	9.332
harris6D	0.060	0.080	0.100	9.332
harris6D	0.060	0.100	0.020	0.122
harris6D	0.060	0.100	0.040	0.122
harris6D	0.060	0.100	0.060	0.122
harris6D	0.060	0.100	0.080	0.122
harris6D	0.060	0.100	0.100	0.122
harris6D	0.080	0.020	0.020	0.131
harris6D	0.080	0.020	0.040	0.131
harris6D	0.080	0.020	0.060	0.131
harris6D	0.080	0.020	0.080	0.131
harris6D	0.080	0.020	0.100	0.131
harris6D	0.080	0.040	0.020	19.218
harris6D	0.080	0.040	0.040	19.218
harris6D	0.080	0.040	0.060	19.218
harris6D	0.080	0.040	0.080	19.218
harris6D	0.080	0.040	0.100	19.218
harris6D	0.080	0.060	0.020	0.131
harris6D	0.080	0.060	0.040	0.373
harris6D	0.080	0.060	0.060	0.373
harris6D	0.080	0.060	0.080	0.373
harris6D	0.080	0.060	0.100	0.131
harris6D	0.080	0.080	0.020	9.332
harris6D	0.080	0.080	0.040	9.332
harris6D	0.080	0.080	0.060	9.332
harris6D	0.080	0.080	0.080	9.332
harris6D	0.080	0.080	0.100	9.332
harris6D	0.080	0.100	0.020	0.122
harris6D	0.080	0.100	0.040	0.122
harris6D	0.080	0.100	0.060	0.122
harris6D	0.080	0.100	0.080	0.122
harris6D	0.080	0.100	0.100	0.122
harris6D	0.100	0.020	0.020	0.131
harris6D	0.100	0.020	0.040	0.131
harris6D	0.100	0.020	0.060	0.131
harris6D	0.100	0.020	0.080	0.131
harris6D	0.100	0.020	0.100	0.131
harris6D	0.100	0.040	0.020	19.218
harris6D	0.100	0.040	0.040	19.218
harris6D	0.100	0.040	0.060	19.218
harris6D	0.100	0.040	0.080	19.218
harris6D	0.100	0.040	0.100	19.218
harris6D	0.100	0.060	0.020	0.131
harris6D	0.100	0.060	0.040	0.373
harris6D	0.100	0.060	0.060	0.373
harris6D	0.100	0.060	0.080	0.373
harris6D	0.100	0.060	0.100	0.131
harris6D	0.100	0.080	0.020	9.332
harris6D	0.100	0.080	0.040	9.332
harris6D	0.100	0.080	0.060	9.332
harris6D	0.100	0.080	0.080	9.332
harris6D	0.100	0.080	0.100	9.332
harris6D	0.100	0.100	0.020	0.122
harris6D	0.100	0.100	0.040	0.122
harris6D	0.100	0.100	0.060	0.122
harris6D	0.100	0.100	0.080	0.122
