KP_Tipe	KP_RAD	DESC_RAD	INLIER_RAD	DIST(mm)
harris3D	0.060	0.080	0.080	0.399
harris3D	0.060	0.080	0.100	0.236
harris3D	0.060	0.100	0.020	0.109
harris3D	0.060	0.100	0.040	0.205
harris3D	0.060	0.100	0.060	0.023
harris3D	0.060	0.100	0.080	0.109
harris3D	0.060	0.100	0.100	0.214
harris3D	0.080	0.020	0.020	0.074
harris3D	0.080	0.020	0.040	0.074
harris3D	0.080	0.020	0.060	0.074
harris3D	0.080	0.020	0.080	0.074
harris3D	0.080	0.020	0.100	0.074
harris3D	0.080	0.040	0.020	0.020
harris3D	0.080	0.040	0.040	0.020
harris3D	0.080	0.040	0.060	0.066
harris3D	0.080	0.040	0.080	0.020
harris3D	0.080	0.040	0.100	0.020
harris3D	0.080	0.060	0.020	0.087
harris3D	0.080	0.060	0.040	0.024
harris3D	0.080	0.060	0.060	0.024
harris3D	0.080	0.060	0.080	0.024
harris3D	0.080	0.060	0.100	0.024
harris3D	0.080	0.080	0.020	0.083
harris3D	0.080	0.080	0.040	0.146
harris3D	0.080	0.080	0.060	0.236
harris3D	0.080	0.080	0.080	0.399
harris3D	0.080	0.080	0.100	0.236
harris3D	0.080	0.100	0.020	0.109
harris3D	0.080	0.100	0.040	0.205
harris3D	0.080	0.100	0.060	0.023
harris3D	0.080	0.100	0.080	0.109
harris3D	0.080	0.100	0.100	0.214
harris3D	0.100	0.020	0.020	0.074
harris3D	0.100	0.020	0.040	0.074
harris3D	0.100	0.020	0.060	0.074
harris3D	0.100	0.020	0.080	0.074
harris3D	0.100	0.020	0.100	0.074
harris3D	0.100	0.040	0.020	0.020
harris3D	0.100	0.040	0.040	0.020
harris3D	0.100	0.040	0.060	0.066
harris3D	0.100	0.040	0.080	0.020
harris3D	0.100	0.040	0.100	0.020
harris3D	0.100	0.060	0.020	0.087
harris3D	0.100	0.060	0.040	0.024
harris3D	0.100	0.060	0.060	0.024
harris3D	0.100	0.060	0.080	0.024
harris3D	0.100	0.060	0.100	0.024
harris3D	0.100	0.080	0.020	0.083
harris3D	0.100	0.080	0.040	0.146
harris3D	0.100	0.080	0.060	0.236
harris3D	0.100	0.080	0.080	0.399
harris3D	0.100	0.080	0.100	0.236
harris3D	0.100	0.100	0.020	0.109
harris3D	0.100	0.100	0.040	0.205
harris3D	0.100	0.100	0.060	0.023
harris3D	0.100	0.100	0.080	0.109
harris3D	0.100	0.100	0.100	0.214
harris6D	0.020	0.020	0.020	0.080
harris6D	0.020	0.020	0.040	0.140
harris6D	0.020	0.020	0.060	0.109
harris6D	0.020	0.020	0.080	0.077
harris6D	0.020	0.020	0.100	0.241
harris6D	0.020	0.040	0.020	0.022
harris6D	0.020	0.040	0.040	0.022
harris6D	0.020	0.040	0.060	0.141
harris6D	0.020	0.040	0.080	0.022
harris6D	0.020	0.040	0.100	0.022
harris6D	0.020	0.060	0.020	0.076
harris6D	0.020	0.060	0.040	0.194
harris6D	0.020	0.060	0.060	0.076
harris6D	0.020	0.060	0.080	0.076
harris6D	0.020	0.060	0.100	0.076
harris6D	0.020	0.080	0.020	0.099
harris6D	0.020	0.080	0.040	0.023
harris6D	0.020	0.080	0.060	0.092
harris6D	0.020	0.080	0.080	0.338
harris6D	0.020	0.080	0.100	0.592
harris6D	0.020	0.100	0.020	0.095
harris6D	0.020	0.100	0.040	0.218
harris6D	0.020	0.100	0.060	0.234
harris6D	0.020	0.100	0.080	0.187
harris6D	0.020	0.100	0.100	0.218
harris6D	0.040	0.020	0.020	0.080
harris6D	0.040	0.020	0.040	0.140
harris6D	0.040	0.020	0.060	0.109
harris6D	0.040	0.020	0.080	0.077
harris6D	0.040	0.020	0.100	0.241
harris6D	0.040	0.040	0.020	0.022
harris6D	0.040	0.040	0.040	0.022
harris6D	0.040	0.040	0.060	0.141
harris6D	0.040	0.040	0.080	0.022
harris6D	0.040	0.040	0.100	0.022
harris6D	0.040	0.060	0.020	0.076
harris6D	0.040	0.060	0.040	0.194
harris6D	0.040	0.060	0.060	0.076
harris6D	0.040	0.060	0.080	0.076
harris6D	0.040	0.060	0.100	0.076
harris6D	0.040	0.080	0.020	0.099
harris6D	0.040	0.080	0.040	0.023
harris6D	0.040	0.080	0.060	0.092
harris6D	0.040	0.080	0.080	0.338
harris6D	0.040	0.080	0.100	0.592
harris6D	0.040	0.100	0.020	0.095
harris6D	0.040	0.100	0.040	0.218
harris6D	0.040	0.100	0.060	0.234
harris6D	0.040	0.100	0.080	0.187
harris6D	0.040	0.100	0.100	0.218
harris6D	0.060	0.020	0.020	0.080
harris6D	0.060	0.020	0.040	0.140
harris6D	0.060	0.020	0.060	0.109
harris6D	0.060	0.020	0.080	0.077
harris6D	0.060	0.020	0.100	0.241
harris6D	0.060	0.040	0.020	0.022
harris6D	0.060	0.040	0.040	0.022
harris6D	0.060	0.040	0.060	0.141
harris6D	0.060	0.040	0.080	0.022
harris6D	0.060	0.040	0.100	0.022
harris6D	0.060	0.060	0.020	0.076
harris6D	0.060	0.060	0.040	0.194
harris6D	0.060	0.060	0.060	0.076
harris6D	0.060	0.060	0.080	0.076
harris6D	0.060	0.060	0.100	0.076
