KP_Tipe	KP_RAD	DESC_RAD	INLIER_RAD	DIST(mm)
harris3D	0.060	0.020	0.040	0.026
harris3D	0.060	0.020	0.060	0.026
harris3D	0.060	0.020	0.080	0.026
harris3D	0.060	0.020	0.100	0.026
harris3D	0.060	0.040	0.020	0.026
harris3D	0.060	0.040	0.040	0.026
harris3D	0.060	0.040	0.060	0.026
harris3D	0.060	0.040	0.080	0.026
harris3D	0.060	0.040	0.100	0.026
harris3D	0.060	0.060	0.020	0.265
harris3D	0.060	0.060	0.040	0.324
harris3D	0.060	0.060	0.060	0.306
harris3D	0.060	0.060	0.080	0.265
harris3D	0.060	0.060	0.100	0.026
harris3D	0.060	0.080	0.020	0.294
harris3D	0.060	0.080	0.040	0.909
harris3D	0.060	0.080	0.060	0.185
harris3D	0.060	0.080	0.080	0.322
harris3D	0.060	0.080	0.100	0.909
harris3D	0.060	0.100	0.020	0.183
harris3D	0.060	0.100	0.040	0.183
harris3D	0.060	0.100	0.060	0.185
harris3D	0.060	0.100	0.080	0.183
harris3D	0.060	0.100	0.100	0.185
harris3D	0.080	0.020	0.020	0.026
harris3D	0.080	0.020	0.040	0.026
harris3D	0.080	0.020	0.060	0.026
harris3D	0.080	0.020	0.080	0.026
harris3D	0.080	0.020	0.100	0.026
harris3D	0.080	0.040	0.020	0.026
harris3D	0.080	0.040	0.040	0.026
harris3D	0.080	0.040	0.060	0.026
harris3D	0.080	0.040	0.080	0.026
harris3D	0.080	0.040	0.100	0.026
harris3D	0.080	0.060	0.020	0.265
harris3D	0.080	0.060	0.040	0.324
harris3D	0.080	0.060	0.060	0.306
harris3D	0.080	0.060	0.080	0.265
harris3D	0.080	0.060	0.100	0.026
harris3D	0.080	0.080	0.020	0.294
harris3D	0.080	0.080	0.040	0.909
harris3D	0.080	0.080	0.060	0.185
harris3D	0.080	0.080	0.080	0.322
harris3D	0.080	0.080	0.100	0.909
harris3D	0.080	0.100	0.020	0.183
harris3D	0.080	0.100	0.040	0.183
harris3D	0.080	0.100	0.060	0.185
harris3D	0.080	0.100	0.080	0.183
harris3D	0.080	0.100	0.100	0.185
harris3D	0.100	0.020	0.020	0.026
harris3D	0.100	0.020	0.040	0.026
harris3D	0.100	0.020	0.060	0.026
harris3D	0.100	0.020	0.080	0.026
harris3D	0.100	0.020	0.100	0.026
harris3D	0.100	0.040	0.020	0.026
harris3D	0.100	0.040	0.040	0.026
harris3D	0.100	0.040	0.060	0.026
harris3D	0.100	0.040	0.080	0.026
harris3D	0.100	0.040	0.100	0.026
harris3D	0.100	0.060	0.020	0.265
harris3D	0.100	0.060	0.040	0.324
harris3D	0.100	0.060	0.060	0.306
harris3D	0.100	0.060	0.080	0.265
harris3D	0.100	0.060	0.100	0.026
harris3D	0.100	0.080	0.020	0.294
harris3D	0.100	0.080	0.040	0.909
harris3D	0.100	0.080	0.060	0.185
harris3D	0.100	0.080	0.080	0.322
harris3D	0.100	0.080	0.100	0.909
harris3D	0.100	0.100	0.020	0.183
harris3D	0.100	0.100	0.040	0.183
harris3D	0.100	0.100	0.060	0.185
harris3D	0.100	0.100	0.080	0.183
harris3D	0.100	0.100	0.100	0.185
harris6D	0.020	0.020	0.020	0.026
harris6D	0.020	0.020	0.040	0.026
harris6D	0.020	0.020	0.060	0.026
harris6D	0.020	0.020	0.080	0.026
harris6D	0.020	0.020	0.100	0.026
harris6D	0.020	0.040	0.020	0.026
harris6D	0.020	0.040	0.040	0.026
harris6D	0.020	0.040	0.060	0.026
harris6D	0.020	0.040	0.080	0.026
harris6D	0.020	0.040	0.100	0.313
harris6D	0.020	0.060	0.020	0.283
harris6D	0.020	0.060	0.040	0.319
harris6D	0.020	0.060	0.060	0.319
harris6D	0.020	0.060	0.080	0.319
harris6D	0.020	0.060	0.100	0.319
harris6D	0.020	0.080	0.020	0.288
harris6D	0.020	0.080	0.040	0.289
harris6D	0.020	0.080	0.060	0.177
harris6D	0.020	0.080	0.080	0.177
